asin,reviewerID,overall
000100039X,A2S166WSCFIFP5,5.0
000100039X,AWLFVCT9128JV,5.0
000100039X,A2NHD7LUXVGTD3,5.0
000100039X,A1K1JW1C5CUSUZ,5.0
000100039X,A3UJJGY799F76I,5.0
000100039X,A1FQPOYRBTTK1,5.0
000100039X,ANTGGAQYPSWHF,3.0
000100039X,A281NPSIMI1C2R,5.0
000100039X,AHD101501WCN1,4.0
000100039X,A3R8PXSFGY9MC2,5.0
000100039X,A1DYXCF4148PJT,5.0
0002007770,APBA7Y4SINS0H,1.0
0002007770,A22019GDU7OVFG,5.0
0002007770,A3T4KN9XO3PIXG,4.0
0002007770,A3VB95TK5API9C,5.0
0002007770,A26UNIPEVYE9DE,5.0
0002007770,A914TQVHI872U,5.0
0002007770,A3E02KBFI21TY0,2.0
0002007770,A3BIWTN2DA0YY2,5.0
0002007770,A30H2335OM7RD6,5.0
0002007770,A21NVBFIEQWDSG,5.0
0002007770,AJQ1S39GZBKUG,2.0
0002007770,A2PN65B6BSTIYZ,3.0
0002007770,A3GUK4RWXKHS9I,5.0
0002007770,ASPABROV8R7M5,4.0
0002007770,A75W6T9I2S8BA,5.0
0002007770,A2PWUIQG57O1AZ,4.0
0002007770,AK536TCZST9B,5.0
0002007770,A26BVUB2YJMGB7,5.0
0002007770,A2ATWKOFJXRRR1,5.0
0002007770,A15NZD5WINDQZM,4.0
0002007770,A39650P2CZUUC9,4.0
0002007770,A2VUNCELWAV29X,4.0
0002007770,A1GIW9VUC7V2WE,5.0
0002007770,AO3M6LS4V3UY4,5.0
0002007770,A7SSCDSCM4PXF,3.0
0002007770,A2F6N60Z96CAJI,5.0
0002007770,A2R53V98P2T4Y4,5.0
0002007770,AGFNLMUZ09UF1,4.0
0002007770,A2HRPFBYBZ4RJ5,5.0
0002007770,A1NOBRCN20NGD5,2.0
0002007770,AYT4FJYVCHYLE,4.0
0002007770,A1QQEFV51EMD7E,4.0
0002007770,A35ROK8CVWNF62,5.0
0002007770,A1BI8PUEHA5CHW,4.0
0002007770,A2ZATPER188K3J,3.0
0002007770,AG2YXYIQ8TLTA,5.0
0002007770,A2SPCMHMXS2QSF,4.0
0002007770,A3JSDV57XPD937,5.0
0002007770,A3SUD7WHS9KI57,5.0
0002007770,A2VZ11U5DXM8J5,4.0
0002007770,A1O3SZ5I2F42A,3.0
0002007770,AVJDSIQPP87B9,5.0
0002007770,A2H44WVZS59KKT,5.0
0002007770,A40QZCBHXTGCG,5.0
0002007770,A367Y1QXNWRJP0,5.0
0002007770,ARBMZ59SXGUGI,5.0
0002007770,A34N0IE7D4M0E6,5.0
0002007770,A1T17LMQABMBN5,4.0
0002007770,A39AWL2FKWDFK6,4.0
0002007770,AQCQ5F0OJXMG9,5.0
0002007770,A3VLAHQIRK8PA7,3.0
0002007770,A1FNIBTI1D91KM,3.0
0002007770,A39ABKRS1MKFTW,5.0
0002007770,A1S4A310394IL7,5.0
0002007770,A1G0DH7UQ4ILS6,4.0
0002007770,A359U0JFFZ0Q04,3.0
0002007770,A2MQQI4UYT9C11,5.0
0002007770,A1E2NA2F4RTQ9B,4.0
0002007770,A1WKQ94M45D8MG,4.0
0002007770,A2C4MKATLLGFB0,5.0
0002007770,AIK0G28AWIL17,5.0
0002007770,A3UIPJ29I9Y61,4.0
0002007770,A2NHD7LUXVGTD3,4.0
0002007770,A1K1JW1C5CUSUZ,5.0
0002007770,A3UHWNH1PZYEUJ,3.0
0002007770,A3ORWAR4CAOPAC,3.0
0002007770,AWFMGDUUGNGYW,4.0
0002007770,A1V09ASZ9HWQAE,5.0
0002007770,A1BY89JC6JOAC5,5.0
0002007770,A27OBJA1YDQFZI,5.0
0002007770,A3M6PVBDT2ED45,5.0
0002007770,AQW3C1QOR6MV8,4.0
0002007770,A1CHM200OEN65X,3.0
0002007770,A19OQ7LWE2YJL3,5.0
0002007770,A3IKBHODOTYYHM,3.0
0002007770,A3PGGI7A6XCNF1,5.0
0002007770,A3M174IC0VXOS2,5.0
0002007770,AK7D1BHZOSOL1,5.0
0002007770,A16A3MYURJDYS7,4.0
0002007770,A3P9D22KDEXVMN,5.0
0002007770,A2R6YYZJU332O8,4.0
0002007770,A2T110FW5JH644,4.0
0002007770,A3HZKNZY9KKQZA,5.0
0002007770,A1UFV4HALV2OXW,5.0
0002007770,A2XK04SBBC164A,5.0
0002007770,AZ8N5BS6476S8,4.0
0002007770,A1CNQTCRQ35IMM,3.0
0002007770,A2SZ9BG00RYAHG,5.0
0002007770,A1EEW7AS30AK5Q,5.0
0002007770,A2BCIAH2TIYVQ9,4.0
0002007770,A3DRSOGQJRX10,5.0
0002007770,A3RP1I0SL7091Q,4.0
0002007770,A1X1TY8AT7E03H,4.0
0002007770,A2XQMGE2YY88DC,2.0
0002007770,A1IIX764GG3WNZ,4.0
0002007770,A146H6A41B26QT,5.0
0002007770,A20VXF9DYI0I6H,4.0
0002007770,AGFGY4EJ37VS2,5.0
0002007770,A1CB9F7TVZ7IRT,5.0
0002007770,A2ECPW4RA7NWMP,4.0
0002007770,AZ85B5Q1UEH5U,4.0
0002007770,AHQYCRL2FMG3D,5.0
0002007770,A1237ROTM7659,5.0
0002007770,A1DW700HEBQC4P,5.0
0002007770,A2E3GFHUDNPYDH,4.0
0002007770,A5A3C6XVDYUND,4.0
0002007770,A3PHF9UV3F177L,4.0
0002007770,A1IOJE0W1NXOSE,4.0
0002007770,A2T9EHCUD7CNEB,4.0
0002007770,A2EHSB26B1U4X2,5.0
0002007770,A22B13EJTZKCTM,5.0
0002007770,ALAFR9RRKEUZP,5.0
0002007770,A11L3YX5WIDKJ,5.0
0002007770,A1DW4U1LQV0XW7,3.0
0002007770,A2TWBMSMBXFJKE,3.0
0002007770,A2GPEV42IO41CI,4.0
0002007770,A2NJL67GOMVDU0,3.0
0002007770,A2H6Q6AK8S90F3,4.0
0002007770,AOCADWNP0OCKD,5.0
0002007770,A2WJC8K1PN8HLW,5.0
0002007770,A21L5T2QRR8S3I,5.0
0002007770,AS6EPVW1IRRP5,3.0
0002007770,A2K9FXOFFHVNWG,5.0
0002007770,A1B23PU99IVME,5.0
0002007770,A17FLA8HQOFVIG,2.0
0002007770,ADDR431KVX4WN,4.0
0002007770,A2X7F0D66LK2WN,5.0
0002007770,APTVNT7U6RZC3,5.0
0002007770,A2MF2QVSCUI27G,5.0
0002007770,A33N05GF31KN8N,4.0
0002007770,A16W9E27VW9IND,4.0
0002007770,A21A2JGWH92TXZ,3.0
0002007770,AU5HUS2XJBDZZ,2.0
0002007770,AYYAIPS6M3HB8,4.0
0002007770,A1WDHQ9V2E4H5C,3.0
0002007770,A2T1B8LGQRYCEA,5.0
0002007770,A11NL2A0RDEGF,3.0
0002007770,A2HR0DJG4WMR8R,4.0
0002007770,A370Z6I5GBWU44,5.0
0002007770,A1NKHQ9L0KIIB5,5.0
0002007770,A3KEZLJ59C1JVH,5.0
0002007770,A3LKWMM12AF0PU,4.0
0002007770,AP8AUHUUYL34A,5.0
0002007770,A1WUPRPQBV4FB8,5.0
