,asin,meta,Title,Author
0,000100039X,"{'ISBN-13': '9780001000391', 'Title': 'The Prophet', 'Authors': ['Kahlil Gibran'], 'Publisher': 'Laurier Books Ltd', 'Year': '2003', 'Language': 'eng'}",The Prophet,Kahlil Gibran
1,0002007770,"{'ISBN-13': '9780002007771', 'Title': 'Water For Elephants: A Novel', 'Authors': ['Sara Gruen'], 'Publisher': 'HarperCollins', 'Year': '2006', 'Language': 'eng'}",Water For Elephants: A Novel,Sara Gruen
3,000224053X,"{'ISBN-13': '9780002240536', 'Title': 'Red Mars', 'Authors': [''], 'Publisher': 'Grafton', 'Year': '1993', 'Language': 'eng'}",Red Mars,
4,0002242052,"{'ISBN-13': '9780002242059', 'Title': 'Without Remorse', 'Authors': ['Tom Clancy'], 'Publisher': 'HarperCollins', 'Year': '1993', 'Language': 'eng'}",Without Remorse,Tom Clancy
5,0002247399,"{'ISBN-13': '9780002247399', 'Title': 'A Dance With Dragons', 'Authors': ['George R. R. Martin'], 'Publisher': 'Harper Voyager', 'Year': '2008', 'Language': 'eng'}",A Dance With Dragons,George R. R. Martin
6,0006476155,"{'ISBN-13': '9780006476153', 'Title': 'Along Came A Spider', 'Authors': ['James Patterson'], 'Publisher': 'HarperCollins', 'Year': '1994', 'Language': 'eng'}",Along Came A Spider,James Patterson
7,0006514006,"{'ISBN-13': '9780006514008', 'Title': 'The Other Boleyn Girl', 'Authors': ['Philippa Gregory'], 'Publisher': 'HarperCollins', 'Year': '2002', 'Language': 'eng'}",The Other Boleyn Girl,Philippa Gregory
8,0006550436,"{'ISBN-13': '9780006550433', 'Title': ""The Bonesetter's Daughter"", 'Authors': ['Amy Tan'], 'Publisher': 'Flamingo', 'Year': '2001', 'Language': 'eng'}",The Bonesetter's Daughter,Amy Tan
9,0006551807,"{'ISBN-13': '9780006551805', 'Title': 'The Namesake', 'Authors': ['Jhumpa Lahiri'], 'Publisher': 'Harper Perennial', 'Year': '2004', 'Language': 'eng'}",The Namesake,Jhumpa Lahiri
10,0007124015,"{'ISBN-13': '9780007124015', 'Title': 'The Lord Of The Rings', 'Authors': ['by J.R.R. Tolkien'], 'Publisher': 'Harper Collins', 'Year': '2001', 'Language': 'eng'}",The Lord Of The Rings,by J.R.R. Tolkien
11,0007136838,"{'ISBN-13': '9780007136834', 'Title': 'And Then There Were None', 'Authors': ['Agatha Christie'], 'Publisher': 'Harper Collins publishers', 'Year': '2003', 'Language': 'eng'}",And Then There Were None,Agatha Christie
12,0007147295,"{'ISBN-13': '9780007147298', 'Title': ""The Queen's Fool"", 'Authors': ['Philippa Gregory'], 'Publisher': 'HarperCollinsPublishers', 'Year': '2004', 'Language': 'eng'}",The Queen's Fool,Philippa Gregory
13,0007149824,"{'ISBN-13': '9780007149827', 'Title': ""The Yiddish Policemen's Union A Novel"", 'Authors': ['Michael Chabon'], 'Publisher': 'HarperCollins', 'Year': '2007', 'Language': 'eng'}",The Yiddish Policemen's Union A Novel,Michael Chabon
14,0007157150,"{'ISBN-13': '9780007157150', 'Title': 'Out Of The Silent Planet', 'Authors': ['C.S. Lewis'], 'Publisher': 'HarperCollins Publ', 'Year': '2005', 'Language': 'eng'}",Out Of The Silent Planet,C.S. Lewis
15,0007167040,"{'ISBN-13': '9780007167043', 'Title': 'Seabiscuit: The True Story Of Three Men And A Racehorse', 'Authors': ['Laura Hillenbrand'], 'Publisher': 'Fourth Estate', 'Year': '2003', 'Language': 'eng'}",Seabiscuit: The True Story Of Three Men And A Racehorse,Laura Hillenbrand
16,0007171684,"{'ISBN-13': '9780007171682', 'Title': 'Ella Enchanted', 'Authors': ['Gail Carson Levine'], 'Publisher': 'Collins Voyager', 'Year': '2003', 'Language': 'eng'}",Ella Enchanted,Gail Carson Levine
17,0007172826,"{'ISBN-13': '9780007172825', 'Title': 'Girl With A Pearl Earring', 'Authors': ['Tracy Chevalier'], 'Publisher': 'HarperCollins', 'Year': '2003', 'Language': 'eng'}",Girl With A Pearl Earring,Tracy Chevalier
18,0007205236,"{'ISBN-13': '9780007205233', 'Title': ""Angela's Ashes: A Memoir Of A Childhood"", 'Authors': ['Frank McCourt'], 'Publisher': 'Harper Perennial', 'Year': '2005', 'Language': 'eng'}",Angela's Ashes: A Memoir Of A Childhood,Frank McCourt
19,000721278X,"{'ISBN-13': '9780007212781', 'Title': '<>', 'Authors': ['Philippa Gregory'], 'Publisher': 'HarperCollins', 'Year': '2009', 'Language': 'heb'}",<>,Philippa Gregory
20,0007228023,"{'ISBN-13': '9780007228027', 'Title': 'Teacher Man A Memoir', 'Authors': ['Frank McCourt'], 'Publisher': 'Harper Perennial', 'Year': '2006', 'Language': 'eng'}",Teacher Man A Memoir,Frank McCourt
21,0007230206,"{'ISBN-13': '9780007230204', 'Title': 'Wolf Hall', 'Authors': ['Hilary Mantel'], 'Publisher': 'Fourth Estate', 'Year': '2010', 'Language': 'eng'}",Wolf Hall,Hilary Mantel
22,0007236360,"{'ISBN-13': '9780007236367', 'Title': 'Damaged: The Heartbreaking True Story Of A Forgotten Child', 'Authors': ['Cathy Glass'], 'Publisher': 'HarperElement', 'Year': '2007', 'Language': 'eng'}",Damaged: The Heartbreaking True Story Of A Forgotten Child,Cathy Glass
23,0007267622,"{'ISBN-13': '9780007267620', 'Title': 'Breathless', 'Authors': ['Dean Koontz'], 'Publisher': 'HarperCollins', 'Year': '2010', 'Language': 'eng'}",Breathless,Dean Koontz
24,000727405X,"{'ISBN-13': '9780007274055', 'Title': 'Crying In The Dark: The True Story Of The Horrific Childhood Of A Mute Little Boy', 'Authors': ['Jamie Phillips', 'Joe Peters'], 'Publisher': 'Harper Element', 'Year': '2008', 'Language': 'eng'}",Crying In The Dark: The True Story Of The Horrific Childhood Of A Mute Little Boy,Jamie Phillips
25,0007281447,"{'ISBN-13': '9780007281442', 'Title': 'Open: An Autobiography', 'Authors': ['Andre Agassi'], 'Publisher': 'Harpercollins', 'Year': '2009', 'Language': 'eng'}",Open: An Autobiography,Andre Agassi
26,0007299540,"{'ISBN-13': '9780007299546', 'Title': 'Fragment', 'Authors': ['Warren Fahy'], 'Publisher': 'Harper', 'Year': '2009', 'Language': 'eng'}",Fragment,Warren Fahy
27,0007327064,"{'ISBN-13': '9780007327065', 'Title': 'Deeply Odd', 'Authors': ['Dean Koontz'], 'Publisher': '', 'Year': '2013', 'Language': 'eng'}",Deeply Odd,Dean Koontz
28,0007337701,"{'ISBN-13': '9780007337705', 'Title': 'War', 'Authors': ['Sebastian Junger'], 'Publisher': 'Fourth Estate', 'Year': '2010', 'Language': 'eng'}",War,Sebastian Junger
29,0007386648,"{'ISBN-13': '9780007386642', 'Title': 'Unbroken: An Extraordinary True Story Of Courage And Survival', 'Authors': ['Laura Hillenbrand'], 'Publisher': 'Fourth Estate', 'Year': '2011', 'Language': 'eng'}",Unbroken: An Extraordinary True Story Of Courage And Survival,Laura Hillenbrand
30,0007410956,"{'ISBN-13': '9780007410958', 'Title': 'Lost In Shangri-La: Escape From A Hidden World: A True Story', 'Authors': ['Mitchell Zuckoff'], 'Publisher': 'HarperPress', 'Year': '2012', 'Language': 'eng'}",Lost In Shangri-La: Escape From A Hidden World: A True Story,Mitchell Zuckoff
31,0007423632,"{'ISBN-13': '9780007423637', 'Title': 'Prince Of Thorns', 'Authors': ['Mark Lawrence'], 'Publisher': 'Harper Voyager', 'Year': '2012', 'Language': 'eng'}",Prince Of Thorns,Mark Lawrence
32,0007441290,"{'ISBN-13': '9780007441297', 'Title': 'The Marriage Plot', 'Authors': ['Jeffrey Eugenides'], 'Publisher': 'Fourth Estate', 'Year': '2011', 'Language': 'eng'}",The Marriage Plot,Jeffrey Eugenides
33,0007442920,"{'ISBN-13': '9780007442928', 'Title': 'Insurgent', 'Authors': ['by Veronica Roth'], 'Publisher': ""HarperCollins Children's"", 'Year': '2012', 'Language': 'eng'}",Insurgent,by Veronica Roth
34,0007444117,"{'ISBN-13': '9780007444113', 'Title': 'Allegiant', 'Authors': ['Veronica Roth'], 'Publisher': 'Harper Collins Publishers', 'Year': '2013', 'Language': 'eng'}",Allegiant,Veronica Roth
35,0007447868,"{'ISBN-13': '9780007447862', 'Title': 'A Feast For Crows', 'Authors': ['George R. R. Martin'], 'Publisher': 'Harper Voyage', 'Year': '2011', 'Language': 'eng'}",A Feast For Crows,George R. R. Martin
36,0007493754,"{'ISBN-13': '9780007493753', 'Title': 'The Third Kingdom', 'Authors': ['Terry Goodkind'], 'Publisher': 'Voyager', 'Year': '2014', 'Language': 'eng'}",The Third Kingdom,Terry Goodkind
38,0020519001,"{'ISBN-13': '9780020519003', 'Title': 'A Farewell To Arms', 'Authors': ['by Ernest Hemingway'], 'Publisher': 'Collier Books', 'Year': '1986', 'Language': 'eng'}",A Farewell To Arms,by Ernest Hemingway
39,0020519109,"{'ISBN-13': '9780020519102', 'Title': 'The Old Man And The Sea', 'Authors': ['Ernest Hemingway'], 'Publisher': 'Macmillan', 'Year': '1986', 'Language': 'eng'}",The Old Man And The Sea,Ernest Hemingway
40,0025853503,"{'ISBN-13': '9780025853508', 'Title': 'Gone With The Wind', 'Authors': ['Margaret Mitchell'], 'Publisher': 'Macmillan', 'Year': '1936', 'Language': 'eng'}",Gone With The Wind,Margaret Mitchell
41,0026009102,"{'ISBN-13': '9780026009102', 'Title': 'The Fountainhead', 'Authors': ['Ayn Rand'], 'Publisher': 'Macmillan', 'Year': '1986', 'Language': 'eng'}",The Fountainhead,Ayn Rand
42,0028610105,"{'ISBN-13': '9780028610108', 'Title': 'How To Cook Everything: Simple Recipes For Great Food', 'Authors': ['Mark Bittman', 'illustrations by Alan Witschonke'], 'Publisher': 'Hungry Minds', 'Year': '1998', 'Language': 'eng'}",How To Cook Everything: Simple Recipes For Great Food,Mark Bittman
43,0060004878,"{'ISBN-13': '9780060004873', 'Title': 'Live By Night', 'Authors': ['Dennis Lehane'], 'Publisher': 'William Morrow', 'Year': '2012', 'Language': 'eng'}",Live By Night,Dennis Lehane
45,006001203X,"{'ISBN-13': '9780060012038', 'Title': ""Dr. Atkins' New Diet Revolution"", 'Authors': ['Robert C. Atkins'], 'Publisher': 'Avon Books', 'Year': '2002', 'Language': 'eng'}",Dr. Atkins' New Diet Revolution,Robert C. Atkins
